CodeINSEE,Code postal,fra,bre
22346,22510,Trédaniel,Trezeniel
22347,22220,Trédarzec,Tredarzeg
22348,22250,Trédias,Trediarn
22349,22300,Trédrez-Locquémeau,Tredraezh-Lokemo
22350,22310,Tréduder,Treduder
22351,22340,Treffrin,Trefrin
22352,22630,Tréfumel,Trefermael
22353,22730,Trégastel,Tregastell
22354,22540,Tréglamus,Treglañviz
22356,22590,Trégomeur,Tregonveur
22358,22200,Trégonneau,Tregonev
22359,22420,Trégrom,Tregrom
22360,22950,Trégueux,Tregaeg
22361,22290,Tréguidel,Tregedel
22362,22220,Tréguier,Landreger
22363,22660,Trélévern,Trelêvern
22364,22100,Trélivan,Trelivan
22365,22110,Trémargat,Tremargad
22366,22310,Trémel,Tremael
22368,22490,Tréméreuc,Tremereg
22369,22250,Trémeur,Treveur
22370,22290,Tréméven,Tremeven-Goueloù
22371,22230,Trémorel,Tremorae
22372,22440,Trémuson,Tremuzon
22373,22340,Tréogan,Treogan
22375,22290,Tressignaux,Tresigne
22376,22600,Trévé,Treve
22377,22410,Tréveneuc,Treveneg
22378,22290,Trévérec,Trevereg
22379,22660,Trévou-Tréguignec,An Trevoù
22380,22100,Trévron,Treveron
22381,22450,Trézény,Trezeni
22383,22450,Troguéry,Trogeri
22384,22460,Uzel,Uzel
22385,22690,La Vicomté-sur-Rance,Kerveskont
22386,22800,Le Vieux-Bourg,Bourc'h-Kintin
22387,22420,Le Vieux-Marché,Ar C'houerc'had
22388,22980,Vildé-Guingalan,Gwilde-Gwengalon
22389,22120,Yffiniac,Ilfinieg
22390,22930,Yvias,Eviaz
22391,22350,Yvignac-la-Tour,Ivinieg
29001,29560,Argol,Argol
29002,29300,Arzano,An Arzhanaou
29004,29380,Bannalec,Banaleg
29005,29300,Baye,Bei
29006,29950,Bénodet,Benoded
29007,29690,Berrien,Berrien
29008,29790,Beuzec-Cap-Sizun,Beuzeg-ar-C'hab
29010,29400,Bodilis,Bodiliz
29011,29820,Bohars,Boc'harzh
29012,29640,Bolazec,Bolazeg
29013,29690,Botmeur,Boneur
29014,29650,Botsorhel,Bodsorc'hel
29015,29860,Bourg-Blanc,Ar Vourc'h-Wenn
29016,29190,Brasparts,Brasparzh
29017,29810,Brélès,Brelez
29018,29690,Brennilis,Brenniliz
29019,29200,Brest,Brest
29020,29510,Briec,Brieg
29022,29570,Camaret-sur-Mer,Kameled
29023,29660,Carantec,Karanteg
29024,29270,Carhaix-Plouguer,Karaez-Plougêr
29025,29150,Cast,Kast
29026,29150,Châteaulin,Kastellin
29027,29520,Châteauneuf-du-Faou,Kastell-Nevez-ar-Faou
29028,29770,Cléden-Cap-Sizun,Kledenn-ar-C'hab
29029,29270,Cléden-Poher,Kledenn-Poc'hêr
29030,29233,Cléder,Kleder
29031,29360,Clohars-Carnoët,Kloar-Karnoed
29032,29950,Clohars-Fouesnant,Kloar-Fouenant
29033,29190,Le Cloître-Pleyben,Kloastr-Pleiben
